EU CODE,EU Description,Local item code,Product,QTY,Sales,Product Line,Company,Country,Suppliers,PROJECT CATEGORY,Animal Type,Period
13668,THIOSULFATE 500 GR,184759,THIOSULFATE 500 GR,163,3824,THIOSULFATE,AGRIPHARM,France,*LABOVET ANALYSES/RESALAB,PHARMA (&NUT),Production,FY 2025
48184,THIOSULFATE SODIUM 1 GR,184758,THIOSULFATE SODIUM 1 GR,297,128,THIOSULFATE,AGRIPHARM,France,*LABOVET ANALYSES/RESALAB,PHARMA (&NUT),Production,FY 2025
32369,THIOSULFATE SODIUM 10 GR,184761,THIOSULFATE SODIUM 10 GR,298,566,THIOSULFATE,AGRIPHARM,France,*LABOVET ANALYSES/RESALAB,PHARMA (&NUT),Production,FY 2025
25815,THIOSULFATE SODIUM 15 GR,184757,THIOSULFATE SODIUM 15 GR,485,1366,THIOSULFATE,AGRIPHARM,France,*LABOVET ANALYSES/RESALAB,PHARMA (&NUT),Production,FY 2025
48384,THIOSULFATE SODIUM 5 GR,184760,THIOSULFATE SODIUM 5 GR,80,96,THIOSULFATE,AGRIPHARM,France,*LABOVET ANALYSES/RESALAB,PHARMA (&NUT),Production,FY 2025
67171,"EQUEST PRAMOX VRAC 20*11,8 g",800203,"EQUEST PRAMOX VRAC 20*11,8 g",-107,-49850,EQUEST,ELVETIS,France,*VETO SANTE CLERMONT,PHARMA (&NUT),Companion,FY 2025
67170,"EQUEST VRAC 20*12,2 g",802188,"EQUEST VRAC 20*12,2 g",-94,-30252,EQUEST,ELVETIS,France,*VETO SANTE CLERMONT,PHARMA (&NUT),Companion,FY 2025
67158,PANACUR CHEVAUX ser/24 g,144433,PANACUR CHEVAUX ser/24 g,-200,-2592,PANACUR,ELVETIS,France,*VETO SANTE CLERMONT,PHARMA (&NUT),Mix,FY 2025
67169,SCALIBOR GRAND CHIEN b/1,807111,SCALIBOR GRAND CHIEN b/1,-100,-15670,SCALIBOR,ELVETIS,France,*VETO SANTE CLERMONT,PHARMA (&NUT),Companion,FY 2025
67168,SCALIBOR PETIT MOY.CHIEN b/1,807112,SCALIBOR PETIT MOY.CHIEN b/1,-100,-13511,SCALIBOR,ELVETIS,France,*VETO SANTE CLERMONT,PHARMA (&NUT),Companion,FY 2025
67167,STRONGID CHEV PATE ORAL ser/26 g,145052,STRONGID CHEV PATE ORAL ser/26 g,-900,-11543,STRONGID,ELVETIS,France,*VETO SANTE CLERMONT,PHARMA (&NUT),Companion,FY 2025
3944,MASIVET 150 MG b/30,800312,MASIVET 150 MG b/30,62,8149,MASIVET,ELVETIS,France,AB SCIENCE HEAD QUARTER,PHARMA (&NUT),Companion,FY 2025
3944,MASIVET 150 MG b/30,800312,MASIVET 150 MG b/30 cpr,176,22625,MASIVET,VETO SONTE,France,AB SCIENCE HEAD QUARTER,PHARMA (&NUT),Companion,FY 2025
11012,MASIVET 50 MG b/30,800311,MASIVET 50 MG b/30,54,3250,MASIVET,ELVETIS,France,AB SCIENCE HEAD QUARTER,PHARMA (&NUT),Companion,FY 2025
11012,MASIVET 50 MG b/30,800311,MASIVET 50 MG b/30 cpr,103,5789,MASIVET,VETO SONTE,France,AB SCIENCE HEAD QUARTER,PHARMA (&NUT),Companion,FY 2025
18260,COLODER b/600 g,121926,COLODER b/600 g,158,2057,COLODER,ELVETIS,France,ACTION PIN,Hygiene & Care,Companion,FY 2025
18260,COLODER b/600 g,121926,COLODER b/600 g pdr ext,1,13,COLODER,VETO SONTE,France,ACTION PIN,Hygiene & Care,0,FY 2025
31489,COLODER DEGRAISSANT CONCENTRE bid/1 l,146147,COLODER DEGRAISSANT CONCENTRE bid/1 l,82,609,COLODER,ELVETIS,France,ACTION PIN,Hygiene & Care,Companion,FY 2025
28300,"COLODER pot/3,5kg",121925,"COLODER pot/3,5kg",17,991,COLODER,ELVETIS,France,ACTION PIN,Hygiene & Care,Companion,FY 2025
28316,DESTRUCTEUR D'ODEUR PIN DES LA bid/5 l,821094,DESTRUCTEUR D'ODEUR PIN DES LA bid/5 l,19,948,DESTRUCTEUR,ELVETIS,France,ACTION PIN,Hygiene & Care,Companion,FY 2025
2543,DESTRUCTEUR D'ODEUR SPRAY MEN.  fl/750 ml,144838,DESTRUCTEUR D'ODEUR SPRAY MEN.  fl/750 ml,18,200,DESTRUCTEUR,LONGIMPEX,France,ACTION PIN,Hygiene & Care,Companion,FY 2025
2543,DESTRUCTEUR D'ODEUR SPRAY MEN.  fl/750 ml,144838,DESTRUCTEUR D'ODEUR SPRAY MEN. fl/750 ml,3747,36866,DESTRUCTEUR,ELVETIS,France,ACTION PIN,Hygiene & Care,Companion,FY 2025
2543,DESTRUCTEUR D'ODEUR SPRAY MEN.  fl/750 ml,144838,DESTRUCTEUR D'ODEUR SPRAY MEN. fl/750 ml sol ext,201,2022,DESTRUCTEUR,VETO SONTE,France,ACTION PIN,Hygiene & Care,Companion,FY 2025
5366,DESTRUCTEUR D'ODEUR SPRAY PIN fl/750 ml,821093,DESTRUCTEUR D'ODEUR SPRAY PIN fl/750 ml,1738,17369,DESTRUCTEUR,ELVETIS,France,ACTION PIN,Hygiene & Care,Companion,FY 2025
5366,DESTRUCTEUR D'ODEUR SPRAY PIN fl/750 ml,821093,DESTRUCTEUR D'ODEUR SPRAY PIN fl/750 ml sol ext,7,71,DESTRUCTEUR,VETO SONTE,France,ACTION PIN,Hygiene & Care,0,FY 2025
3601,DETERGENT BOUQUET DES LANDES S bid/1 l,801702,DETERGENT BOUQUET DES LANDES S bid/1 l,2845,25839,DETERGENT,ELVETIS,France,ACTION PIN,Hygiene & Care,Companion,FY 2025
3601,DETERGENT BOUQUET DES LANDES S bid/1 l,801702,DETERGENT BOUQUET DES LANDES S bid/1 l sol ext,10,92,DETERGENT,VETO SONTE,France,ACTION PIN,Hygiene & Care,Companion,FY 2025
13335,DETERGENT DOUCEUR DE COTON bid/1 l,821097,DETERGENT DOUCEUR DE COTON bid/1 l,500,4576,DETERGENT,ELVETIS,France,ACTION PIN,Hygiene & Care,Companion,FY 2025
13335,DETERGENT DOUCEUR DE COTON bid/1 l,821097,DETERGENT DOUCEUR DE COTON bid/1 l sol ext,3,28,DETERGENT,VETO SONTE,France,ACTION PIN,Hygiene & Care,Companion,FY 2025
12845,DETERGENT GAMELLES & MANGEOIR. bid/1 l,821098,DETERGENT GAMELLES & MANGEOIR. bid/1 l,735,3883,DETERGENT,ELVETIS,France,ACTION PIN,Hygiene & Care,Companion,FY 2025
3535,DETERGENT PARFUM EAU VIVE bid/1 l,144840,DETERGENT PARFUM EAU VIVE bid/1 l,2902,26232,DETERGENT,ELVETIS,France,ACTION PIN,Hygiene & Care,Companion,FY 2025
3535,DETERGENT PARFUM EAU VIVE bid/1 l,144840,DETERGENT PARFUM EAU VIVE bid/1 l sol ext,24,220,DETERGENT,VETO SONTE,France,ACTION PIN,Hygiene & Care,Companion,FY 2025
19943,DETERGENT SANS ALLERGENE *** bid/1 l,811487,DETERGENT SANS ALLERGENE *** bid/1 l,168,1544,DETERGENT,ELVETIS,France,ACTION PIN,Hygiene & Care,Companion,FY 2025
19943,DETERGENT SANS ALLERGENE *** bid/1 l,811487,DETERGENT SANS ALLERGENE bid/1 l sol ext,2,16,DETERGENT,VETO SONTE,France,ACTION PIN,Hygiene & Care,Companion,FY 2025
1908,DETERGENT SOUFFLE D'ORIENT bid/1 l,144839,DETERGENT SOUFFLE D'ORIENT bid/1 l,5532,50166,DETERGENT,ELVETIS,France,ACTION PIN,Hygiene & Care,Companion,FY 2025
